"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA) - Modified value (Quarterly)"
"1994-03-31","1994Q1","6.8400000"
"1994-06-30","1994Q2","6.3700000"
"1994-09-30","1994Q3","6.3800000"
"1994-12-31","1994Q4","6.5100000"
"1995-03-31","1995Q1","6.9400000"
"1995-06-30","1995Q2","7.1400000"
"1995-09-30","1995Q3","6.6900000"
"1995-12-31","1995Q4","6.5100000"
"1996-03-31","1996Q1","5.6300000"
"1996-06-30","1996Q2","5.1400000"
"1996-09-30","1996Q3","5.0000000"
"1996-12-31","1996Q4","4.5900000"
"1997-03-31","1997Q1","4.4400000"
"1997-06-30","1997Q2","4.3300000"
"1997-09-30","1997Q3","4.3200000"
"1997-12-31","1997Q4","4.4300000"
"1998-03-31","1998Q1","4.2000000"
"1998-06-30","1998Q2","4.0600000"
"1998-09-30","1998Q3","3.9400000"
"1998-12-31","1998Q4","3.6200000"
"1999-03-31","1999Q1","3.0907319"
"1999-06-30","1999Q2","2.6340296"
"1999-09-30","1999Q3","2.6993939"
"1999-12-31","1999Q4","3.4297980"
"2000-03-31","2000Q1","3.5423161"
"2000-06-30","2000Q2","4.2630169"
"2000-09-30","2000Q3","4.7376004"
"2000-12-31","2000Q4","5.0241284"
"2001-03-31","2001Q1","4.7450546"
"2001-06-30","2001Q2","4.5907511"
"2001-09-30","2001Q3","4.2678360"
"2001-12-31","2001Q4","3.4434801"
"2002-03-31","2002Q1","3.3622242"
"2002-06-30","2002Q2","3.4460137"
"2002-09-30","2002Q3","3.3573507"
"2002-12-31","2002Q4","3.1088179"
"2003-03-31","2003Q1","2.6830735"
"2003-06-30","2003Q2","2.3619103"
"2003-09-30","2003Q3","2.1392634"
"2003-12-31","2003Q4","2.1496495"
"2004-03-31","2004Q1","2.0629508"
"2004-06-30","2004Q2","2.0824296"
"2004-09-30","2004Q3","2.1163030"
"2004-12-31","2004Q4","2.1636085"
"2005-03-31","2005Q1","2.1403230"
"2005-06-30","2005Q2","2.1246400"
"2005-09-30","2005Q3","2.1303478"
"2005-12-31","2005Q4","2.3434466"
"2006-03-31","2006Q1","2.6115468"
"2006-06-30","2006Q2","2.8894865"
"2006-09-30","2006Q3","3.2213499"
"2006-12-31","2006Q4","3.5944641"
"2007-03-31","2007Q1","3.8203242"
"2007-06-30","2007Q2","4.0647962"
"2007-09-30","2007Q3","4.5004968"
"2007-12-31","2007Q4","4.7247684"
"2008-03-31","2008Q1","4.4800030"
"2008-06-30","2008Q2","4.8604683"
"2008-09-30","2008Q3","4.9817908"
"2008-12-31","2008Q4","4.2146690"
"2009-03-31","2009Q1","2.0116761"
"2009-06-30","2009Q2","1.3106364"
"2009-09-30","2009Q3","0.8691745"
"2009-12-31","2009Q4","0.7219120"
"2010-03-31","2010Q1","0.6621355"
"2010-06-30","2010Q2","0.6862716"
"2010-09-30","2010Q3","0.8749394"
"2010-12-31","2010Q4","1.0204693"
"2011-03-31","2011Q1","1.0931699"
"2011-06-30","2011Q2","1.4116308"
"2011-09-30","2011Q3","1.5620535"
"2011-12-31","2011Q4","1.4955447"
"2012-03-31","2012Q1","1.0429892"
"2012-06-30","2012Q2","0.6960273"
"2012-09-30","2012Q3","0.3585789"
"2012-12-31","2012Q4","0.1951289"
"2013-03-31","2013Q1","0.2114364"
"2013-06-30","2013Q2","0.2067940"
"2013-09-30","2013Q3","0.2235122"
"2013-12-31","2013Q4","0.2409024"
"2014-03-31","2014Q1","0.2951596"
"2014-06-30","2014Q2","0.2985833"
"2014-09-30","2014Q3","0.1645686"
"2014-12-31","2014Q4","0.0814712"
"2015-03-31","2015Q1","0.0460162"
"2015-06-30","2015Q2","-0.0065258"
"2015-09-30","2015Q3","-0.0278171"
"2015-12-31","2015Q4","-0.0891760"
"2016-03-31","2016Q1","-0.1860817"
"2016-06-30","2016Q2","-0.2580938"
"2016-09-30","2016Q3","-0.2981259"
"2016-12-31","2016Q4","-0.3124812"
"2017-03-31","2017Q1","-0.3278311"
"2017-06-30","2017Q2","-0.3299478"
"2017-09-30","2017Q3","-0.3296322"
"2017-12-31","2017Q4","-0.3288134"
"2018-03-31","2018Q1","-0.3282864"
"2018-06-30","2018Q2","-0.3252416"
"2018-09-30","2018Q3","-0.3195258"
"2018-12-31","2018Q4","-0.3153180"
"2019-03-31","2019Q1","-0.3085468"
"2019-06-30","2019Q2","-0.3170712"
"2019-09-30","2019Q3","-0.3967076"
"2019-12-31","2019Q4","-0.4029518"
"2020-03-31","2020Q1","-0.4055409"
"2020-06-30","2020Q2","-0.3006700"
"2020-09-30","2020Q3","-0.4717361"
"2020-12-31","2020Q4","-0.5226948"
"2021-03-31","2021Q1","-0.5424460"
"2021-06-30","2021Q2","-0.5403848"
"2021-09-30","2021Q3","-0.5458182"
"2021-12-31","2021Q4","-0.5663765"
"2022-03-31","2022Q1","-0.5290259"
"2022-06-30","2022Q2","-0.3576164"
"2022-09-30","2022Q3","0.4807406"
"2022-12-31","2022Q4","1.7721234"
"2023-03-31","2023Q1","2.6319263"
"2023-06-30","2023Q2","3.3623451"
"2023-09-30","2023Q3","3.7773871"
"2023-12-31","2023Q4","3.9580558"
"2024-03-31","2024Q1","3.9238544"
"2024-06-30","2024Q2","3.8075050"
"2024-09-30","2024Q3","3.5553771"
"2024-12-31","2024Q4","2.9993235"
"2025-03-31","2025Q1","2.5572171"
"2025-06-30","2025Q2","2.1067524"
"2025-09-30","2025Q3","2.0115719"
"2025-12-31","2025Q4","2.0415045"
"2026-03-31","2026Q1","2.0494788"
